,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME,NUMBER_OWN_CHILDREN,YEAR
164,Black Only,30.0,,,,,,2019
165,White Only,50.0,,,,,,2019
166,White Only,50.0,,,,,,2019
167,White Only,20.0,,,,,,2019
168,White Only,20.0,,,,,,2019
169,White Only,20.0,,,,,,2019
170,White Only,40.0,,,,,,2019
171,Black Only,40.0,,,,,,2019
172,Black Only,40.0,,,,,,2019
173,Black Only,40.0,,,,,,2019
174,Black Only,40.0,,,,,,2019
175,Black Only,40.0,,,,,,2019
176,White Only,20.0,,,,,,2019
177,White Only,30.0,,,,,,2019
178,White Only,30.0,,,,,,2019
179,Black Only,60.0,,,,,,2019
180,Black Only,60.0,,,,,,2019
181,White Only,100.0,,,,,,2019
182,White Only,100.0,,,,,,2019
183,White Only,100.0,,,,,,2019
184,White Only,100.0,,,,,,2019
185,White Only,100.0,,,,,,2019
186,White Only,100.0,,,,,,2019
187,White Only,100.0,,,,,,2019
188,White Only,100.0,,,,,,2019
189,White Only,100.0,,,,,,2019
190,Black Only,100.0,,,,,,2019
191,Black Only,100.0,,,,,,2019
192,White Only,20.0,,,,,,2019
193,White Only,20.0,,,,,,2019
194,White Only,10.0,,,,,,2019
195,Black Only,50.0,,,,,,2019
196,Black Only,50.0,,,,,,2019
197,Black Only,50.0,,,,,,2019
198,White Only,100.0,,,,,,2019
199,White Only,100.0,,,,,,2019
200,White Only,100.0,,,,,,2019
201,White Only,100.0,,,,,,2019
202,Black Only,100.0,,,,,,2019
203,Black Only,100.0,,,,,,2019
204,Black Only,100.0,,,,,,2019
205,Black Only,100.0,,,,,,2019
206,Black Only,30.0,,,,,,2019
207,Black Only,20.0,,,,,,2019
208,Black Only,20.0,,,,,,2019
209,Black Only,20.0,,,,,,2019
210,Black Only,20.0,,,,,,2019
211,Black Only,50.0,,,,,,2019
212,Black Only,50.0,,,,,,2019
213,Black Only,100.0,,,,,,2019
214,Black Only,100.0,,,,,,2019
215,White Only,50.0,,,,,,2019
216,White Only,50.0,,,,,,2019
217,White Only,80.0,,,,,,2019
218,White Only,80.0,,,,,,2019
