,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
989,Black Only,,,60.0,,
990,Black Only,,,60.0,,
991,Black Only,,,60.0,,
997,Black Only,,,10.0,,
998,Black Only,,,10.0,,
999,Black Only,,,10.0,,
1000,Black Only,,,10.0,,
1001,Black Only,,,10.0,,
1002,White Only,,,200.0,,
1003,White Only,,,200.0,,
1007,White Only,,,40.0,,
1008,White Only,,,40.0,,
1009,White Only,,,40.0,,
1011,White Only,,,150.0,,
1012,White Only,,,30.0,,
1013,White Only,,,50.0,,
1014,White Only,,,50.0,,
1015,White Only,,,50.0,,
1016,White Only,,,30.0,,
1017,White Only,,,30.0,,
1018,White Only,,,30.0,,
1019,White Only,,,30.0,,
1020,White Only,,,30.0,,
1021,Black Only,,,30.0,,
1028,Black Only,,,20.0,,
1029,Black Only,,,20.0,,
1030,Black Only,,,20.0,,
1031,White Only,,,20.0,,
1032,White Only,,,20.0,,
1051,White Only,,,50.0,,
1063,White Only,,,70.0,,
1064,White Only,,,70.0,,
1065,White Only,,,70.0,,
1066,White Only,,,160.0,,
1067,White Only,,,50.0,,
1068,White Only,,,50.0,,
1079,Black Only,,,30.0,,
1080,Black Only,,,30.0,,
1081,Black Only,,,30.0,,
1089,Black Only,,,50.0,,
1090,Black Only,,,50.0,,
1091,Black Only,,,50.0,,
1095,Black Only,,,40.0,,
1096,Black Only,,,40.0,,
1097,Black Only,,,40.0,,
1098,White Only,,,200.0,,
1099,White Only,,,200.0,,
1100,White Only,,,200.0,,
1107,White Only,,,30.0,,
1109,Black Only,,,50.0,,
1110,Black Only,,,50.0,,
1111,Black Only,,,40.0,,
1112,Black Only,,,40.0,,
1113,Black Only,,,40.0,,
1118,White Only,,,20.0,,
1119,Black Only,,,40.0,,
1120,Black Only,,,40.0,,
1121,Black Only,,,40.0,,
1122,Black Only,,,50.0,,
1123,Black Only,,,30.0,,
1131,White Only,,,50.0,,
1132,White Only,,,50.0,,
1140,White Only,,,150.0,,
1141,White Only,,,150.0,,
1142,White Only,,,150.0,,
1147,Black Only,,,4.0,,
1148,Black Only,,,4.0,,
1154,Black Only,,,10.0,,
1186,White Only,,,50.0,,
1187,White Only,,,50.0,,
1193,White Only,,,20.0,,
1194,White Only,,,20.0,,
1195,White Only,,,20.0,,
1196,White Only,,,20.0,,
1197,White Only,,,20.0,,
1198,Black Only,,,50.0,,
1199,Black Only,,,50.0,,
1200,Black Only,,,50.0,,
1201,Black Only,,,80.0,,
1205,Black Only,,,10.0,,
1207,White Only,,,90.0,,
1208,White Only,,,90.0,,
1209,White Only,,,90.0,,
1221,White Only,,,30.0,,
1222,White Only,,,30.0,,
1223,White Only,,,50.0,,
1224,White Only,,,50.0,,
1225,White Only,,,50.0,,
1226,White Only,,,50.0,,
1239,Black Only,,,20.0,,
1240,Black Only,,,20.0,,
1241,White Only,,,50.0,,
1242,White Only,,,50.0,,
1245,Black Only,,,30.0,,
1246,Black Only,,,20.0,,
1247,Black Only,,,20.0,,
1248,Black Only,,,20.0,,
1249,Black Only,,,20.0,,
1250,Black Only,,,20.0,,
1251,Black Only,,,20.0,,
1252,Black Only,,,20.0,,
1261,White Only,,,100.0,,
1262,White Only,,,100.0,,
1270,White Only,,,60.0,,
1271,White Only,,,60.0,,
1272,White Only,,,60.0,,
1273,White Only,,,60.0,,
1274,White Only,,,60.0,,
1276,White Only,,,30.0,,
1277,White Only,,,50.0,,
1278,White Only,,,50.0,,
1279,White Only,,,50.0,,
1280,White Only,,,50.0,,
1281,White Only,,,20.0,,
1282,White Only,,,20.0,,
1283,White Only,,,60.0,,
1284,White Only,,,60.0,,
1285,White Only,,,60.0,,
1286,White Only,,,40.0,,
1287,White Only,,,20.0,,
1288,White Only,,,20.0,,
1289,White Only,,,20.0,,
1290,White Only,,,20.0,,
1291,White Only,,,100.0,,
1292,White Only,,,100.0,,
1293,White Only,,,100.0,,
1294,White Only,,,100.0,,
1295,White Only,,,100.0,,
1296,White Only,,,60.0,,
1297,White Only,,,60.0,,
1298,White Only,,,60.0,,
1301,White-Black,,,20.0,,
1302,White-Black,,,20.0,,
1303,White-Black,,,20.0,,
1304,White-Black,,,20.0,,
1310,White Only,,,50.0,,
1311,White Only,,,50.0,,
1312,Black Only,,,80.0,,
1313,Black Only,,,80.0,,
1314,Black Only,,,80.0,,
1326,Black Only,,,60.0,,
1328,Black Only,,,100.0,,
1329,Black Only,,,20.0,,
1330,Black Only,,,20.0,,
1331,White Only,,,30.0,,
1332,White Only,,,30.0,,
1345,White Only,,,100.0,,
1346,White Only,,,50.0,,
1349,Black Only,,,30.0,,
1350,Black Only,,,30.0,,
1351,Black Only,,,30.0,,
1356,White Only,,,60.0,,
1357,White Only,,,60.0,,
1358,Black Only,,,50.0,,
1362,White Only,,,30.0,,
1363,White Only,,,30.0,,
1365,White Only,,,50.0,,
1366,White Only,,,50.0,,
1367,White Only,,,50.0,,
1368,White Only,,,50.0,,
1369,White Only,,,10.0,,
1370,White Only,,,30.0,,
1371,White Only,,,30.0,,
1373,Black Only,,,80.0,,
1374,Black Only,,,80.0,,
1375,White Only,,,60.0,,
1398,Asian Only,,,10.0,,
1399,White Only,,,20.0,,
1410,White Only,,,60.0,,
1411,White Only,,,60.0,,
1412,White Only,,,30.0,,
1413,White Only,,,30.0,,
1414,White Only,,,30.0,,
1415,White Only,,,80.0,,
1421,Black Only,,,10.0,,
1422,Black Only,,,10.0,,
1423,Black Only,,,10.0,,
1424,Black Only,,,10.0,,
1425,Black Only,,,10.0,,
1426,Black Only,,,10.0,,
1436,White Only,,,100.0,,
1437,White Only,,,100.0,,
1438,White Only,,,100.0,,
1439,White Only,,,100.0,,
1448,Black Only,,,30.0,,
1449,Black Only,,,30.0,,
1451,White Only,,,100.0,,
1452,White Only,,,100.0,,
1453,White Only,,,100.0,,
1454,White Only,,,100.0,,
1470,Black Only,,,30.0,,
1471,Black Only,,,30.0,,
1472,Black Only,,,30.0,,
1473,Black Only,,,30.0,,
1474,White Only,,,40.0,,
1475,White Only,,,40.0,,
1476,Black Only,,,50.0,,
1477,Black Only,,,50.0,,
1482,White Only,,,20.0,,
1483,White Only,,,20.0,,
1486,White Only,,,20.0,,
1487,White Only,,,20.0,,
1488,White Only,,,20.0,,
1489,White Only,,,20.0,,
1490,White Only,,,20.0,,
1491,White Only,,,20.0,,
1492,White Only,,,10.0,,
1493,White Only,,,10.0,,
1499,White Only,,,20.0,,
1513,White Only,,,20.0,,
1514,White Only,,,20.0,,
1532,White Only,,,20.0,,
1533,White Only,,,20.0,,
1534,White Only,,,40.0,,
1535,White Only,,,40.0,,
1536,White Only,,,60.0,,
1537,White Only,,,60.0,,
1542,White Only,,,20.0,,
1543,White Only,,,20.0,,
1544,White Only,,,20.0,,
1545,White Only,,,30.0,,
1554,Black Only,,,30.0,,
1555,Black Only,,,30.0,,
1556,Black Only,,,30.0,,
1557,Black Only,,,30.0,,
1558,Black Only,,,30.0,,
1559,Black Only,,,30.0,,
1560,Black Only,,,30.0,,
1561,Black Only,,,30.0,,
1562,Black Only,,,30.0,,
1577,Black Only,,,30.0,,
1578,Black Only,,,30.0,,
1579,Black Only,,,30.0,,
1580,Black Only,,,30.0,,
1583,White Only,,,10.0,,
1584,White Only,,,10.0,,
1585,White Only,,,10.0,,
1586,White Only,,,10.0,,
1589,White Only,,,40.0,,
1590,White Only,,,40.0,,
1597,White Only,,,80.0,,
1598,White Only,,,80.0,,
1599,White Only,,,80.0,,
1606,Black Only,,,30.0,,
1607,Black Only,,,30.0,,
1608,Black Only,,,30.0,,
1609,Black Only,,,30.0,,
1611,Black Only,,,30.0,,
1612,Black Only,,,30.0,,
1613,Black Only,,,30.0,,
1614,Black Only,,,50.0,,
1615,Black Only,,,50.0,,
1621,White Only,,,30.0,,
1622,White Only,,,30.0,,
1623,White Only,,,30.0,,
1629,White Only,,,50.0,,
1630,White Only,,,50.0,,
1631,White Only,,,50.0,,
1632,White Only,,,50.0,,
1633,White Only,,,50.0,,
1658,White Only,,,30.0,,
1659,White Only,,,30.0,,
1660,White Only,,,30.0,,
1661,White Only,,,30.0,,
1662,White Only,,,30.0,,
1664,White Only,,,50.0,,
1665,White Only,,,50.0,,
1666,White Only,,,50.0,,
1667,White Only,,,50.0,,
1668,Black Only,,,30.0,,
1669,Black Only,,,30.0,,
1672,White Only,,,10.0,,
1673,Asian Only,,,10.0,,
1674,White Only,,,100.0,,
1675,White Only,,,100.0,,
1676,White Only,,,100.0,,
1677,White Only,,,100.0,,
1683,White Only,,,40.0,,
1684,White Only,,,40.0,,
1693,White Only,,,4.0,,
1694,White Only,,,4.0,,
1695,White Only,,,4.0,,
1696,White Only,,,4.0,,
1716,White Only,,,120.0,,
1717,White Only,,,120.0,,
1722,Black Only,,,30.0,,
1723,Black Only,,,30.0,,
1724,Black Only,,,60.0,,
1725,Black Only,,,60.0,,
1726,Black Only,,,60.0,,
1727,White Only,,,10.0,,
1728,White Only,,,50.0,,
1729,White Only,,,50.0,,
1730,White Only,,,50.0,,
1732,Black Only,,,30.0,,
1733,Black Only,,,30.0,,
1734,Black Only,,,30.0,,
1735,Black Only,,,30.0,,
1736,Black Only,,,30.0,,
1742,Black Only,,,30.0,,
1743,Black Only,,,30.0,,
1744,Black Only,,,30.0,,
1746,White Only,,,100.0,,
1747,White Only,,,100.0,,
1748,White Only,,,100.0,,
1764,Black Only,,,40.0,,
1765,Black Only,,,40.0,,
1767,White Only,,,20.0,,
1768,White Only,,,20.0,,
1769,White Only,,,20.0,,
1780,Black Only,,,20.0,,
1783,Black Only,,,50.0,,
1784,Black Only,,,50.0,,
1785,White Only,,,4.0,,
1786,White Only,,,4.0,,
1787,White Only,,,200.0,,
1788,White Only,,,200.0,,
1789,Black Only,,,10.0,,
1790,Black Only,,,10.0,,
1791,White Only,,,100.0,,
1792,White Only,,,100.0,,
1793,White Only,,,100.0,,
1794,White Only,,,100.0,,
1795,Black Only,,,10.0,,
1799,White Only,,,40.0,,
1801,Black Only,,,4.0,,
1818,White Only,,,40.0,,
1819,White Only,,,40.0,,
1820,Black Only,,,20.0,,
1821,Black Only,,,20.0,,
1822,Black Only,,,20.0,,
1823,Black Only,,,20.0,,
1824,Black Only,,,20.0,,
1825,Black Only,,,20.0,,
1826,Black Only,,,20.0,,
1838,Black Only,,,50.0,,
1839,Black Only,,,50.0,,
1840,Black Only,,,50.0,,
1844,Black Only,,,10.0,,
1845,Black Only,,,10.0,,
1846,Black Only,,,10.0,,
1847,White Only,,,20.0,,
1848,White Only,,,20.0,,
1855,Black Only,,,80.0,,
1856,Black Only,,,80.0,,
1864,White Only,,,20.0,,
1865,White Only,,,20.0,,
1869,Black Only,,,30.0,,
1870,Black Only,,,30.0,,
1873,White Only,,,100.0,,
1874,White Only,,,100.0,,
1875,White Only,,,100.0,,
1876,Black Only,,,130.0,,
1877,Black Only,,,130.0,,
1878,White Only,,,30.0,,
1879,White Only,,,30.0,,
1880,White Only,,,30.0,,
1889,White Only,,,30.0,,
1890,White Only,,,30.0,,
1891,White Only,,,30.0,,
1892,White Only,,,30.0,,
1893,White Only,,,30.0,,
1899,Black Only,,,20.0,,
1901,Black Only,,,20.0,,
1902,Black Only,,,20.0,,
1903,Black Only,,,20.0,,
1904,Black Only,,,60.0,,
1905,Black Only,,,60.0,,
1906,Black Only,,,60.0,,
1907,Black Only,,,60.0,,
1908,Black Only,,,20.0,,
1909,Black Only,,,20.0,,
1914,Black Only,,,20.0,,
1915,Black Only,,,20.0,,
1916,White Only,,,100.0,,
1917,White Only,,,100.0,,
1925,White Only,,,40.0,,
1926,White Only,,,40.0,,
1927,White Only,,,20.0,,
1929,Black Only,,,10.0,,
1931,Black Only,,,30.0,,
1932,Black Only,,,30.0,,
1933,Black Only,,,30.0,,
1934,Black Only,,,20.0,,
1935,Black Only,,,20.0,,
1936,Black Only,,,20.0,,
1937,Black Only,,,20.0,,
1943,Black Only,,,100.0,,
1944,Black Only,,,100.0,,
1946,White Only,,,40.0,,
1947,Asian Only,,,40.0,,
1949,White Only,,,90.0,,
1950,White Only,,,90.0,,
1951,White Only,,,90.0,,
1952,White Only,,,40.0,,
1953,White Only,,,40.0,,
1954,White Only,,,40.0,,
1955,White Only,,,40.0,,
1976,White Only,,,50.0,,
1977,White Only,,,170.0,,
1978,White Only,,,170.0,,
1979,White Only,,,170.0,,
1980,White Only,,,170.0,,
1981,White Only,,,170.0,,
1982,White Only,,,170.0,,
1983,White Only,,,30.0,,
1984,White Only,,,30.0,,
1985,White Only,,,30.0,,
1986,White Only,,,30.0,,
1987,White Only,,,30.0,,
1988,White Only,,,10.0,,
1989,White Only,,,10.0,,
1990,White Only,,,10.0,,
1991,White Only,,,10.0,,
1992,White Only,,,10.0,,
1993,White Only,,,10.0,,
1996,White Only,,,30.0,,
1997,White Only,,,30.0,,
1998,Black Only,,,50.0,,
1999,Black Only,,,50.0,,
2000,Black Only,,,50.0,,
2003,Black Only,,,150.0,,
2004,Black Only,,,150.0,,
2005,Black Only,,,150.0,,
2006,Black Only,,,150.0,,
2007,Black Only,,,150.0,,
2008,White Only,,,100.0,,
2009,White Only,,,100.0,,
2015,Black Only,,,30.0,,
2016,Black Only,,,30.0,,
2017,Black Only,,,30.0,,
2018,Black Only,,,30.0,,
2019,Black Only,,,30.0,,
2029,White Only,,,30.0,,
2030,White Only,,,30.0,,
2031,White Only,,,30.0,,
2032,White Only,,,30.0,,
2033,White Only,,,4.0,,
2034,White Only,,,4.0,,
2035,White Only,,,100.0,,
2036,White Only,,,100.0,,
2037,White Only,,,100.0,,
2038,White Only,,,100.0,,
2039,White Only,,,70.0,,
2040,White Only,,,70.0,,
2041,White Only,,,70.0,,
2042,White Only,,,50.0,,
2043,White Only,,,50.0,,
2044,Black Only,,,170.0,,
2045,Black Only,,,170.0,,
2051,Black Only,,,30.0,,
2052,Black Only,,,30.0,,
2053,White Only,,,160.0,,
2054,White Only,,,160.0,,
2057,White Only,,,100.0,,
2058,White Only,,,100.0,,
2059,White Only,,,50.0,,
2060,White Only,,,50.0,,
2078,Black Only,,,100.0,,
2079,Black Only,,,100.0,,
2112,White Only,,,50.0,,
2113,White Only,,,50.0,,
2114,White Only,,,50.0,,
2116,White Only,,,40.0,,
2118,Black Only,,,20.0,,
2119,Black Only,,,20.0,,
2122,White Only,,,50.0,,
2123,White Only,,,50.0,,
2138,White Only,,,40.0,,
2139,White Only,,,40.0,,
2140,White Only,,,40.0,,
2141,White-Black,,,30.0,,
2142,White-Black,,,30.0,,
2143,Black Only,,,100.0,,
2144,Black Only,,,100.0,,
2145,Black Only,,,100.0,,
2146,Black Only,,,100.0,,
2147,Black Only,,,100.0,,
2148,White Only,,,20.0,,
2149,White Only,,,20.0,,
2150,White Only,,,20.0,,
2151,Black Only,,,200.0,,
2152,Black Only,,,200.0,,
2153,Black Only,,,200.0,,
2154,Black Only,,,200.0,,
2155,Black Only,,,200.0,,
2156,Black Only,,,200.0,,
2157,Black Only,,,200.0,,
2173,Black Only,,,30.0,,
2174,Black Only,,,30.0,,
2180,Black Only,,,40.0,,
2181,Black Only,,,40.0,,
2182,Black Only,,,40.0,,
2183,White Only,,,30.0,,
2184,White Only,,,30.0,,
2189,White Only,,,110.0,,
2190,White Only,,,110.0,,
2191,White Only,,,50.0,,
2192,White Only,,,50.0,,
2193,White Only,,,50.0,,
2194,White Only,,,50.0,,
2203,White Only,,,60.0,,
2204,White Only,,,60.0,,
2206,Black Only,,,20.0,,
2207,Black Only,,,30.0,,
2215,White Only,,,50.0,,
2216,White Only,,,50.0,,
2217,White Only,,,50.0,,
2220,Black Only,,,40.0,,
2222,Black Only,,,40.0,,
2239,White Only,,,50.0,,
2240,White Only,,,50.0,,
2241,White Only,,,50.0,,
2242,White Only,,,50.0,,
2251,Black Only,,,10.0,,
2255,Black Only,,,20.0,,
2256,Black Only,,,20.0,,
2257,Black Only,,,20.0,,
2258,Black Only,,,20.0,,
2259,Black Only,,,20.0,,
2260,Black Only,,,20.0,,
2261,White Only,,,60.0,,
2262,White Only,,,60.0,,
2263,White Only,,,60.0,,
2264,Black Only,,,10.0,,
2269,Black Only,,,40.0,,
2270,Black Only,,,40.0,,
2271,Black Only,,,20.0,,
2276,Black Only,,,150.0,,
2277,Black Only,,,150.0,,
2278,Black Only,,,150.0,,
2279,Black Only,,,150.0,,
2280,Black Only,,,150.0,,
2283,Black Only,,,20.0,,
2284,Black Only,,,20.0,,
2291,Black Only,,,20.0,,
2292,Black Only,,,20.0,,
2293,Black Only,,,20.0,,
2297,Black Only,,,40.0,,
2298,Black Only,,,40.0,,
2299,Black Only,,,40.0,,
2300,Black Only,,,40.0,,
2301,Black Only,,,40.0,,
2302,Black Only,,,40.0,,
2308,Black Only,,,80.0,,
2309,Black Only,,,80.0,,
2310,Black Only,,,80.0,,
2311,Black Only,,,4.0,,
2312,Black Only,,,4.0,,
2334,Black Only,,,20.0,,
2335,Black Only,,,20.0,,
2336,White Only,,,50.0,,
2337,White Only,,,50.0,,
2350,Black Only,,,10.0,,
2351,Black Only,,,10.0,,
2371,Black Only,,,70.0,,
2372,Black Only,,,70.0,,
2390,Black Only,,,30.0,,
2413,White Only,,,30.0,,
2414,White Only,,,30.0,,
2428,Black Only,,,50.0,,
2429,Black Only,,,50.0,,
2430,White Only,,,200.0,,
2431,White Only,,,200.0,,
2432,White Only,,,200.0,,
2433,White Only,,,200.0,,
2438,Black Only,,,100.0,,
2439,Black Only,,,100.0,,
2440,Black Only,,,100.0,,
2443,White Only,,,100.0,,
2444,White Only,,,100.0,,
2462,Black Only,,,30.0,,
2469,Black Only,,,40.0,,
2470,Black Only,,,40.0,,
2471,Black Only,,,40.0,,
2478,White Only,,,150.0,,
2479,White Only,,,150.0,,
2480,White Only,,,150.0,,
2481,White Only,,,50.0,,
2486,Black Only,,,30.0,,
2488,White Only,,,20.0,,
2489,White Only,,,20.0,,
2510,Black Only,,,40.0,,
2511,Black Only,,,40.0,,
2512,Black Only,,,40.0,,
2514,White Only,,,50.0,,
2515,White Only,,,50.0,,
2516,White Only,,,50.0,,
2517,White Only,,,50.0,,
2518,Black Only,,,50.0,,
2519,Black Only,,,50.0,,
2524,White Only,,,50.0,,
2525,White Only,,,50.0,,
2526,White Only,,,50.0,,
2527,White Only,,,50.0,,
2530,Black Only,,,40.0,,
2531,Black Only,,,40.0,,
2532,Black Only,,,40.0,,
2533,Black Only,,,40.0,,
2534,Black Only,,,40.0,,
5,Black Only,,,,190.0,
6,Black Only,,,,190.0,
7,Black Only,,,,190.0,
8,White Only,,,,90.0,
9,White Only,,,,90.0,
10,White Only,,,,90.0,
11,Black Only,,,,120.0,
12,Black Only,,,,120.0,
13,Black Only,,,,120.0,
14,Black Only,,,,120.0,
15,Black Only,,,,120.0,
16,Black Only,,,,120.0,
18,White Only,,,,250.0,
19,White Only,,,,250.0,
20,White Only,,,,250.0,
21,White Only,,,,250.0,
22,White Only,,,,250.0,
26,White Only,,,,130.0,
27,White Only,,,,130.0,
31,Black Only,,,,30.0,
32,Black Only,,,,40.0,
33,White Only,,,,60.0,
34,White Only,,,,60.0,
35,White Only,,,,300.0,
36,White Only,,,,300.0,
37,White Only,,,,300.0,
38,White Only,,,,300.0,
39,White Only,,,,150.0,
43,White Only,,,,250.0,
44,White Only,,,,250.0,
45,White Only,,,,250.0,
46,White Only,,,,250.0,
47,White Only,,,,80.0,
48,White Only,,,,80.0,
49,White Only,,,,150.0,
50,White Only,,,,150.0,
51,White Only,,,,150.0,
52,White Only,,,,150.0,
53,White Only,,,,200.0,
54,White Only,,,,200.0,
55,White Only,,,,200.0,
56,White Only,,,,200.0,
57,White Only,,,,430.0,
58,White Only,,,,430.0,
59,White Only,,,,430.0,
60,White Only,,,,430.0,
61,White Only,,,,430.0,
65,Black Only,,,,70.0,
68,Black Only,,,,150.0,
69,Black Only,,,,150.0,
79,White Only,,,,30.0,
80,White Only,,,,200.0,
81,White Only,,,,100.0,
82,White Only,,,,100.0,
83,White Only,,,,100.0,
84,Black Only,,,,100.0,
85,Black Only,,,,50.0,
86,Black Only,,,,220.0,
87,Black Only,,,,220.0,
88,Black Only,,,,220.0,
89,Black Only,,,,220.0,
90,White Only,,,,60.0,
92,Black Only,,,,40.0,
93,White Only,,,,80.0,
94,White Only,,,,80.0,
95,White Only,,,,80.0,
96,White Only,,,,200.0,
97,White Only,,,,200.0,
98,White Only,,,,100.0,
99,White Only,,,,140.0,
100,White Only,,,,140.0,
101,White Only,,,,140.0,
102,White Only,,,,140.0,
109,White Only,,,,250.0,
113,Black Only,,,,50.0,
114,Black Only,,,,50.0,
123,White Only,,,,200.0,
124,White Only,,,,200.0,
129,Black Only,,,,100.0,
130,Black Only,,,,100.0,
134,White Only,,,,100.0,
135,White Only,,,,100.0,
137,White Only,,,,250.0,
138,White Only,,,,250.0,
139,White Only,,,,250.0,
140,White Only,,,,250.0,
141,White Only,,,,250.0,
143,White Only,,,,400.0,
144,White Only,,,,400.0,
146,Black Only,,,,190.0,
147,Black Only,,,,190.0,
148,Black Only,,,,190.0,
149,Black Only,,,,190.0,
152,Black Only,,,,100.0,
167,White Only,,,,20.0,
172,White Only,,,,300.0,
173,White Only,,,,300.0,
174,White Only,,,,80.0,
175,White Only,,,,80.0,
176,White Only,,,,200.0,
177,White Only,,,,200.0,
178,White Only,,,,200.0,
180,Black Only,,,,50.0,
181,Black Only,,,,50.0,
188,White Only,,,,300.0,
189,White Only,,,,300.0,
190,White Only,,,,300.0,
193,White Only,,,,80.0,
194,White Only,,,,80.0,
195,Black Only,,,,40.0,
198,White Only,,,,80.0,
206,Black Only,,,,100.0,
207,Black Only,,,,100.0,
208,Black Only,,,,100.0,
221,White Only,,,,100.0,
222,White Only,,,,100.0,
223,White Only,,,,100.0,
224,Black Only,,,,150.0,
225,Black Only,,,,150.0,
226,Black Only,,,,150.0,
227,Black Only,,,,140.0,
228,Black Only,,,,140.0,
229,Black Only,,,,140.0,
230,Black Only,,,,140.0,
233,Black Only,,,,150.0,
234,Black Only,,,,150.0,
235,Black Only,,,,150.0,
236,Black Only,,,,150.0,
239,White Only,,,,80.0,
240,Asian Only,,,,80.0,
242,White Only,,,,100.0,
243,White Only,,,,100.0,
245,Black Only,,,,300.0,
246,Black Only,,,,300.0,
247,Black Only,,,,300.0,
248,Black Only,,,,300.0,
249,Black Only,,,,300.0,
250,Black Only,,,,50.0,
251,Black Only,,,,50.0,
252,Black Only,,,,50.0,
257,White Only,,,,100.0,
258,White Only,,,,100.0,
259,White Only,,,,100.0,
260,White Only,,,,100.0,
261,White Only,,,,100.0,
262,Black Only,,,,250.0,
263,Black Only,,,,250.0,
264,Black Only,,,,250.0,
265,Black Only,,,,250.0,
266,White Only,,,,70.0,
267,Black Only,,,,230.0,
268,Black Only,,,,230.0,
277,White Only,,,,80.0,
278,White Only,,,,50.0,
279,White Only,,,,50.0,
281,White Only,,,,100.0,
282,White Only,,,,100.0,
283,White Only,,,,100.0,
284,White Only,,,,100.0,
287,White Only,,,,70.0,
288,White Only,,,,70.0,
289,White Only,,,,160.0,
290,White Only,,,,160.0,
291,White Only,,,,160.0,
292,White Only,,,,160.0,
294,White Only,,,,120.0,
295,White Only,,,,120.0,
296,White Only,,,,120.0,
297,White Only,,,,50.0,
298,White Only,,,,100.0,
299,White Only,,,,100.0,
303,Black Only,,,,130.0,
304,Black Only,,,,130.0,
308,Black Only,,,,30.0,
309,Black Only,,,,50.0,
310,Black Only,,,,70.0,
311,Black Only,,,,70.0,
313,Black Only,,,,180.0,
314,Black Only,,,,180.0,
315,Black Only,,,,180.0,
316,Black Only,,,,180.0,
319,White Only,,,,100.0,
320,White Only,,,,100.0,
321,White Only,,,,100.0,
328,Black Only,,,,50.0,
329,Black Only,,,,80.0,
330,Black Only,,,,80.0,
332,White Only,,,,40.0,
333,White Only,,,,40.0,
339,White Only,,,,100.0,
340,White Only,,,,100.0,
341,White Only,,,,100.0,
342,White Only,,,,200.0,
343,White Only,,,,200.0,
348,White Only,,,,50.0,
351,Black Only,,,,50.0,
352,White Only,,,,90.0,
353,White Only,,,,90.0,
354,White Only,,,,90.0,
355,White Only,,,,90.0,
364,Black Only,,,,50.0,
368,White Only,,,,200.0,
369,White Only,,,,200.0,
370,White Only,,,,200.0,
371,White Only,,,,200.0,
378,Black Only,,,,40.0,
379,Black Only,,,,40.0,
380,Black Only,,,,40.0,
381,Black Only,,,,40.0,
382,Black Only,,,,40.0,
383,Black Only,,,,40.0,
392,White Only,,,,300.0,
393,White Only,,,,300.0,
394,White Only,,,,300.0,
395,White Only,,,,300.0,
396,White Only,,,,300.0,
409,Black Only,,,,180.0,
410,Black Only,,,,200.0,
411,Black Only,,,,200.0,
415,White Only,,,,120.0,
416,White Only,,,,120.0,
417,Black Only,,,,70.0,
419,Black Only,,,,150.0,
421,White Only,,,,150.0,
422,White Only,,,,150.0,
425,White Only,,,,60.0,
429,Black Only,,,,150.0,
430,Black Only,,,,150.0,
431,Black Only,,,,150.0,
432,Black Only,,,,70.0,
433,Black Only,,,,70.0,
434,White Only,,,,150.0,
435,White Only,,,,150.0,
436,Black Only,,,,50.0,
437,Black Only,,,,50.0,
442,Black Only,,,,150.0,
443,Black Only,,,,150.0,
452,White Only,,,,60.0,
454,White Only,,,,130.0,
455,White Only,,,,130.0,
456,White Only,,,,180.0,
457,White Only,,,,180.0,
461,White Only,,,,50.0,
464,White Only,,,,10.0,
477,White Only,,,,230.0,
478,White Only,,,,230.0,
479,White Only,,,,230.0,
480,White Only,,,,230.0,
481,White Only,,,,230.0,
482,White Only,,,,230.0,
483,White Only,,,,230.0,
484,White Only,,,,230.0,
490,White Only,,,,150.0,
495,White Only,,,,150.0,
496,White Only,,,,150.0,
497,White Only,,,,150.0,
498,White Only,,,,150.0,
499,White Only,,,,150.0,
500,Black Only,,,,180.0,
501,Black Only,,,,180.0,
502,White Only,,,,130.0,
503,White Only,,,,130.0,
505,White Only,,,,80.0,
509,White Only,,,,110.0,
518,White Only,,,,400.0,
519,White Only,,,,400.0,
531,White Only,,,,30.0,
532,White Only,,,,120.0,
533,White Only,,,,120.0,
534,White Only,,,,100.0,
535,White Only,,,,100.0,
536,White Only,,,,100.0,
538,White Only,,,,60.0,
539,White Only,,,,60.0,
545,White Only,,,,80.0,
546,White Only,,,,80.0,
563,White Only,,,,130.0,
564,White Only,,,,130.0,
566,White Only,,,,70.0,
574,White Only,,,,190.0,
575,White Only,,,,190.0,
576,White Only,,,,190.0,
578,White Only,,,,100.0,
582,Black Only,,,,40.0,
583,Black Only,,,,40.0,
584,Black Only,,,,300.0,
585,Black Only,,,,300.0,
586,Black Only,,,,300.0,
587,Black Only,,,,300.0,
588,Black Only,,,,300.0,
589,Black Only,,,,300.0,
592,Black Only,,,,60.0,
595,Black Only,,,,100.0,
596,Black Only,,,,100.0,
597,Black Only,,,,100.0,
598,Black Only,,,,100.0,
600,Black Only,,,,120.0,
602,Black Only,,,,120.0,
603,Black Only,,,,120.0,
604,Black Only,,,,200.0,
605,Black Only,,,,200.0,
606,Black Only,,,,200.0,
607,Black Only,,,,200.0,
609,White Only,,,,80.0,
610,White Only,,,,50.0,
615,Black Only,,,,120.0,
616,Black Only,,,,120.0,
617,Black Only,,,,120.0,
632,Black Only,,,,30.0,
633,White Only,,,,100.0,
635,White Only,,,,100.0,
636,White Only,,,,100.0,
637,White Only,,,,100.0,
645,Black Only,,,,150.0,
646,Black Only,,,,150.0,
647,Black Only,,,,150.0,
648,Black Only,,,,150.0,
649,White Only,,,,200.0,
650,Asian Only,,,,200.0,
