,NUMBER_OWN_CHILDREN,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
4,0,20.0,,,,
8,1,50.0,,,,
9,1,50.0,,,,
10,0,50.0,,,,
23,2,60.0,,,,
24,0,60.0,,,,
25,0,60.0,,,,
32,0,80.0,,,,
40,0,30.0,,,,
53,0,50.0,,,,
54,0,50.0,,,,
55,0,50.0,,,,
56,0,50.0,,,,
65,0,30.0,,,,
66,0,100.0,,,,
67,0,100.0,,,,
68,0,50.0,,,,
69,0,50.0,,,,
71,0,200.0,,,,
72,0,200.0,,,,
80,0,10.0,,,,
84,0,30.0,,,,
85,0,50.0,,,,
86,0,100.0,,,,
87,0,100.0,,,,
88,1,100.0,,,,
89,0,100.0,,,,
113,0,150.0,,,,
114,0,150.0,,,,
122,0,40.0,,,,
180,0,50.0,,,,
181,0,50.0,,,,
193,0,20.0,,,,
194,0,20.0,,,,
221,2,200.0,,,,
222,0,200.0,,,,
223,0,200.0,,,,
245,2,80.0,,,,
246,0,80.0,,,,
247,0,80.0,,,,
248,0,80.0,,,,
249,0,80.0,,,,
254,0,20.0,,,,
255,0,20.0,,,,
256,0,20.0,,,,
257,1,50.0,,,,
258,1,50.0,,,,
259,0,50.0,,,,
313,2,50.0,,,,
314,0,50.0,,,,
315,0,50.0,,,,
316,0,50.0,,,,
332,0,50.0,,,,
333,0,50.0,,,,
364,0,100.0,,,,
380,0,60.0,,,,
381,0,60.0,,,,
382,0,60.0,,,,
383,0,60.0,,,,
417,0,30.0,,,,
418,0,60.0,,,,
427,0,100.0,,,,
429,0,100.0,,,,
430,0,100.0,,,,
431,0,100.0,,,,
459,0,50.0,,,,
462,0,40.0,,,,
463,0,40.0,,,,
469,0,20.0,,,,
508,0,100.0,,,,
509,0,40.0,,,,
532,1,40.0,,,,
533,0,40.0,,,,
540,0,30.0,,,,
541,0,30.0,,,,
584,3,200.0,,,,
585,3,200.0,,,,
586,0,200.0,,,,
587,0,200.0,,,,
588,0,200.0,,,,
589,0,200.0,,,,
602,0,50.0,,,,
603,0,50.0,,,,
609,0,30.0,,,,
623,0,60.0,,,,
624,1,60.0,,,,
625,0,60.0,,,,
635,0,50.0,,,,
636,0,50.0,,,,
637,0,50.0,,,,
645,2,80.0,,,,
646,2,80.0,,,,
647,0,80.0,,,,
648,0,80.0,,,,
651,0,30.0,,,,
652,0,30.0,,,,
653,0,30.0,,,,
655,0,30.0,,,,
656,0,30.0,,,,
659,2,30.0,,,,
660,0,30.0,,,,
661,0,30.0,,,,
707,2,50.0,,,,
708,0,50.0,,,,
709,0,50.0,,,,
714,0,40.0,,,,
715,0,40.0,,,,
716,0,40.0,,,,
761,0,30.0,,,,
762,0,30.0,,,,
763,0,30.0,,,,
775,0,30.0,,,,
781,0,10.0,,,,
782,0,10.0,,,,
785,0,60.0,,,,
786,0,60.0,,,,
855,0,20.0,,,,
856,0,20.0,,,,
866,0,100.0,,,,
867,0,100.0,,,,
868,0,100.0,,,,
869,0,100.0,,,,
870,0,100.0,,,,
871,0,100.0,,,,
876,0,150.0,,,,
877,0,150.0,,,,
878,0,150.0,,,,
914,3,150.0,,,,
915,0,150.0,,,,
916,0,150.0,,,,
917,0,150.0,,,,
919,0,100.0,,,,
920,0,100.0,,,,
944,3,100.0,,,,
945,0,100.0,,,,
946,0,100.0,,,,
947,0,100.0,,,,
954,1,100.0,,,,
955,0,100.0,,,,
958,0,50.0,,,,
997,0,30.0,,,,
998,0,30.0,,,,
999,0,30.0,,,,
1011,0,20.0,,,,
1013,1,10.0,,,,
1014,1,10.0,,,,
1015,0,10.0,,,,
1076,0,50.0,,,,
1077,0,50.0,,,,
1086,0,80.0,,,,
1087,0,80.0,,,,
1098,1,40.0,,,,
1099,1,40.0,,,,
1100,0,40.0,,,,
1153,0,40.0,,,,
1204,0,30.0,,,,
1205,0,30.0,,,,
1239,1,30.0,,,,
1240,0,30.0,,,,
