,NUMBER_OWN_CHILDREN,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
1253,0,100.0,,,,
1255,0,50.0,,,,
1256,0,50.0,,,,
1257,0,50.0,,,,
1301,0,50.0,,,,
1302,0,50.0,,,,
1303,0,50.0,,,,
1304,0,50.0,,,,
1333,0,30.0,,,,
1336,0,50.0,,,,
1337,0,50.0,,,,
1353,2,20.0,,,,
1354,0,20.0,,,,
1355,0,20.0,,,,
1386,0,40.0,,,,
1416,0,40.0,,,,
1417,0,40.0,,,,
1418,0,40.0,,,,
1419,0,40.0,,,,
1420,0,40.0,,,,
1440,0,20.0,,,,
1465,0,30.0,,,,
1466,0,30.0,,,,
1476,0,60.0,,,,
1477,0,60.0,,,,
1486,2,100.0,,,,
1487,2,100.0,,,,
1488,0,100.0,,,,
1489,0,100.0,,,,
1490,0,100.0,,,,
1491,0,100.0,,,,
1494,0,100.0,,,,
1495,0,100.0,,,,
1496,0,100.0,,,,
1501,0,100.0,,,,
1502,0,100.0,,,,
1517,0,20.0,,,,
1518,0,20.0,,,,
1570,0,10.0,,,,
1574,2,50.0,,,,
1575,0,50.0,,,,
1576,0,50.0,,,,
1583,2,100.0,,,,
1584,0,100.0,,,,
1585,0,100.0,,,,
1586,0,100.0,,,,
1600,3,100.0,,,,
1601,0,100.0,,,,
1602,0,100.0,,,,
1603,0,100.0,,,,
1605,0,30.0,,,,
1606,1,20.0,,,,
1607,1,20.0,,,,
1608,0,20.0,,,,
1609,0,20.0,,,,
1614,0,50.0,,,,
1615,0,50.0,,,,
1668,0,100.0,,,,
1669,0,100.0,,,,
1683,0,50.0,,,,
1684,0,50.0,,,,
1693,2,80.0,,,,
1694,2,80.0,,,,
1695,0,80.0,,,,
1696,0,80.0,,,,
1710,0,20.0,,,,
1711,0,20.0,,,,
1718,0,40.0,,,,
1719,0,40.0,,,,
1722,0,30.0,,,,
1723,0,30.0,,,,
1724,0,50.0,,,,
1725,0,50.0,,,,
1726,0,50.0,,,,
1742,1,100.0,,,,
1743,0,100.0,,,,
1744,0,100.0,,,,
1750,0,40.0,,,,
1764,0,50.0,,,,
1765,0,50.0,,,,
1770,2,50.0,,,,
1771,0,50.0,,,,
1772,0,50.0,,,,
1773,0,50.0,,,,
1780,0,20.0,,,,
1781,0,20.0,,,,
1785,0,10.0,,,,
1786,0,10.0,,,,
1789,0,40.0,,,,
1790,0,40.0,,,,
1801,0,30.0,,,,
1807,0,30.0,,,,
1876,0,60.0,,,,
1877,0,60.0,,,,
1904,2,120.0,,,,
1905,0,120.0,,,,
1906,0,120.0,,,,
1907,0,120.0,,,,
1914,0,50.0,,,,
1915,0,50.0,,,,
1919,0,40.0,,,,
1925,0,60.0,,,,
1926,0,60.0,,,,
1927,0,10.0,,,,
1963,1,30.0,,,,
1964,0,30.0,,,,
2014,0,30.0,,,,
2029,1,100.0,,,,
2030,0,100.0,,,,
2031,0,100.0,,,,
2032,0,100.0,,,,
2072,0,20.0,,,,
2078,0,100.0,,,,
2079,0,100.0,,,,
2080,0,70.0,,,,
2117,0,20.0,,,,
2168,0,80.0,,,,
2255,1,20.0,,,,
2256,1,20.0,,,,
2257,0,20.0,,,,
2269,1,40.0,,,,
2270,0,40.0,,,,
2276,0,200.0,,,,
2277,3,200.0,,,,
2278,0,200.0,,,,
2279,0,200.0,,,,
2280,0,200.0,,,,
2299,3,40.0,,,,
2300,0,40.0,,,,
2301,0,40.0,,,,
2302,0,40.0,,,,
2308,0,80.0,,,,
2309,0,80.0,,,,
2310,0,80.0,,,,
2338,0,40.0,,,,
2339,0,40.0,,,,
2385,2,200.0,,,,
2386,0,200.0,,,,
2387,0,200.0,,,,
2388,0,200.0,,,,
2390,0,40.0,,,,
2395,0,100.0,,,,
2396,0,100.0,,,,
2397,0,100.0,,,,
2428,0,70.0,,,,
2429,0,70.0,,,,
2483,0,50.0,,,,
2518,1,30.0,,,,
2519,0,30.0,,,,
5,1,,190.0,,,
6,1,,190.0,,,
7,0,,190.0,,,
17,0,,50.0,,,
31,0,,10.0,,,
65,0,,40.0,,,
66,0,,110.0,,,
67,0,,110.0,,,
129,0,,180.0,,,
130,0,,180.0,,,
221,2,,250.0,,,
222,0,,250.0,,,
223,0,,250.0,,,
224,2,,280.0,,,
225,0,,280.0,,,
226,0,,280.0,,,
245,2,,620.0,,,
246,0,,620.0,,,
247,0,,620.0,,,
248,0,,620.0,,,
249,0,,620.0,,,
277,0,,60.0,,,
364,0,,20.0,,,
368,2,,140.0,,,
369,2,,140.0,,,
370,0,,140.0,,,
371,0,,140.0,,,
374,2,,640.0,,,
375,2,,640.0,,,
376,0,,640.0,,,
377,0,,640.0,,,
380,0,,400.0,,,
381,0,,400.0,,,
382,0,,400.0,,,
383,0,,400.0,,,
392,3,,300.0,,,
393,3,,300.0,,,
394,0,,300.0,,,
395,0,,300.0,,,
396,0,,300.0,,,
410,0,,20.0,,,
411,0,,20.0,,,
417,0,,20.0,,,
467,0,,210.0,,,
468,0,,210.0,,,
469,0,,20.0,,,
574,2,,330.0,,,
575,0,,330.0,,,
576,0,,330.0,,,
592,0,,20.0,,,
595,2,,400.0,,,
596,0,,400.0,,,
597,0,,400.0,,,
598,0,,400.0,,,
600,0,,20.0,,,
602,0,,90.0,,,
603,0,,90.0,,,
604,0,,110.0,,,
605,0,,110.0,,,
606,0,,110.0,,,
607,0,,110.0,,,
651,0,,90.0,,,
652,0,,90.0,,,
653,0,,90.0,,,
659,2,,80.0,,,
660,0,,80.0,,,
661,0,,80.0,,,
775,0,,70.0,,,
799,0,,10.0,,,
800,0,,10.0,,,
857,2,,560.0,,,
858,2,,560.0,,,
859,0,,560.0,,,
860,0,,560.0,,,
861,0,,560.0,,,
893,0,,10.0,,,
914,3,,550.0,,,
915,0,,550.0,,,
916,0,,550.0,,,
917,0,,550.0,,,
919,0,,90.0,,,
920,0,,90.0,,,
938,0,,190.0,,,
944,3,,100.0,,,
945,0,,100.0,,,
946,0,,100.0,,,
947,0,,100.0,,,
958,0,,110.0,,,
997,0,,20.0,,,
998,0,,20.0,,,
999,0,,20.0,,,
1079,2,,200.0,,,
1080,0,,200.0,,,
1081,0,,200.0,,,
1086,0,,200.0,,,
1087,0,,200.0,,,
1111,2,,380.0,,,
1112,0,,380.0,,,
1113,0,,380.0,,,
1154,0,,60.0,,,
1160,0,,100.0,,,
1161,1,,100.0,,,
1162,0,,100.0,,,
1250,0,,140.0,,,
1251,0,,140.0,,,
1252,0,,140.0,,,
1264,0,,20.0,,,
1265,0,,20.0,,,
1266,0,,20.0,,,
1283,1,,50.0,,,
1284,0,,50.0,,,
1285,0,,50.0,,,
1353,2,,300.0,,,
1354,0,,300.0,,,
1355,0,,300.0,,,
1386,0,,20.0,,,
1416,0,,80.0,,,
1417,0,,80.0,,,
1418,0,,80.0,,,
1419,0,,80.0,,,
1420,0,,80.0,,,
1448,0,,70.0,,,
1449,0,,70.0,,,
1470,0,,220.0,,,
1471,1,,220.0,,,
1472,0,,220.0,,,
1473,0,,220.0,,,
1486,2,,600.0,,,
1487,2,,600.0,,,
1488,0,,600.0,,,
1489,0,,600.0,,,
1490,0,,600.0,,,
1491,0,,600.0,,,
1498,0,,20.0,,,
1501,0,,240.0,,,
1502,0,,240.0,,,
1574,2,,150.0,,,
1575,0,,150.0,,,
1576,0,,150.0,,,
1600,3,,500.0,,,
1601,0,,500.0,,,
1602,0,,500.0,,,
1603,0,,500.0,,,
1611,2,,430.0,,,
1612,0,,430.0,,,
1613,0,,430.0,,,
1664,3,,640.0,,,
1665,0,,640.0,,,
1666,0,,640.0,,,
1667,0,,640.0,,,
1742,1,,360.0,,,
1743,0,,360.0,,,
1744,0,,360.0,,,
1750,0,,20.0,,,
1770,2,,60.0,,,
1771,0,,60.0,,,
1772,0,,60.0,,,
1773,0,,60.0,,,
1785,0,,20.0,,,
1786,0,,20.0,,,
1801,0,,60.0,,,
1821,0,,300.0,,,
1822,0,,300.0,,,
1823,0,,300.0,,,
1824,0,,300.0,,,
1825,0,,300.0,,,
1826,0,,300.0,,,
1890,0,,648.0,,,
1891,0,,648.0,,,
1892,0,,648.0,,,
1893,0,,648.0,,,
1908,0,,648.0,,,
1909,0,,648.0,,,
1910,0,,350.0,,,
1914,0,,180.0,,,
1915,0,,180.0,,,
1918,0,,90.0,,,
1919,0,,40.0,,,
1945,0,,70.0,,,
1988,2,,648.0,,,
1989,2,,648.0,,,
1990,0,,648.0,,,
1991,0,,648.0,,,
1992,0,,648.0,,,
1993,0,,648.0,,,
2004,0,,400.0,,,
2005,0,,400.0,,,
2006,0,,400.0,,,
2007,0,,400.0,,,
2015,3,,540.0,,,
2016,3,,540.0,,,
2017,0,,540.0,,,
2018,0,,540.0,,,
2019,0,,540.0,,,
2061,0,,648.0,,,
2062,0,,648.0,,,
2063,0,,648.0,,,
2151,2,,500.0,,,
2152,0,,500.0,,,
2153,0,,500.0,,,
2154,0,,500.0,,,
2155,0,,500.0,,,
2156,0,,500.0,,,
2157,0,,500.0,,,
2195,0,,170.0,,,
2281,0,,70.0,,,
2282,0,,70.0,,,
2283,0,,20.0,,,
2284,0,,20.0,,,
2299,3,,280.0,,,
2300,0,,280.0,,,
2301,0,,280.0,,,
2302,0,,280.0,,,
2311,0,,20.0,,,
2312,0,,20.0,,,
2385,2,,110.0,,,
2386,0,,110.0,,,
2387,0,,110.0,,,
2388,0,,110.0,,,
2390,0,,30.0,,,
2486,0,,70.0,,,
2510,0,,320.0,,,
2511,0,,320.0,,,
2512,0,,320.0,,,
2518,1,,350.0,,,
2519,0,,350.0,,,
4,0,,,30.0,,
11,2,,,100.0,,
12,2,,,100.0,,
13,1,,,100.0,,
14,0,,,100.0,,
15,0,,,100.0,,
16,0,,,100.0,,
17,0,,,10.0,,
18,1,,,20.0,,
19,1,,,20.0,,
20,0,,,20.0,,
21,0,,,20.0,,
22,0,,,20.0,,
26,0,,,30.0,,
27,0,,,30.0,,
28,1,,,100.0,,
29,1,,,100.0,,
30,0,,,100.0,,
35,2,,,100.0,,
36,2,,,100.0,,
37,0,,,100.0,,
38,0,,,100.0,,
39,0,,,20.0,,
41,0,,,4.0,,
42,0,,,4.0,,
43,1,,,50.0,,
44,1,,,50.0,,
45,0,,,50.0,,
46,0,,,50.0,,
47,0,,,50.0,,
48,0,,,50.0,,
49,0,,,60.0,,
50,1,,,60.0,,
51,0,,,60.0,,
52,0,,,60.0,,
53,0,,,30.0,,
54,0,,,30.0,,
55,0,,,30.0,,
56,0,,,30.0,,
57,0,,,250.0,,
58,0,,,250.0,,
59,0,,,250.0,,
60,0,,,250.0,,
61,0,,,250.0,,
65,0,,,4.0,,
68,0,,,4.0,,
69,0,,,4.0,,
71,0,,,140.0,,
72,0,,,140.0,,
78,0,,,30.0,,
79,0,,,20.0,,
81,0,,,40.0,,
82,0,,,40.0,,
84,0,,,10.0,,
86,0,,,130.0,,
87,0,,,130.0,,
88,1,,,130.0,,
89,0,,,130.0,,
90,0,,,10.0,,
92,0,,,20.0,,
93,2,,,30.0,,
94,0,,,30.0,,
95,0,,,30.0,,
96,0,,,40.0,,
97,0,,,40.0,,
98,0,,,20.0,,
99,1,,,30.0,,
100,1,,,30.0,,
101,0,,,30.0,,
102,0,,,30.0,,
109,0,,,20.0,,
113,0,,,20.0,,
114,0,,,20.0,,
122,0,,,50.0,,
129,0,,,4.0,,
130,0,,,4.0,,
134,0,,,200.0,,
135,0,,,200.0,,
146,2,,,30.0,,
147,2,,,30.0,,
148,0,,,30.0,,
149,0,,,30.0,,
152,0,,,20.0,,
166,0,,,20.0,,
167,0,,,20.0,,
172,0,,,80.0,,
173,0,,,80.0,,
174,0,,,20.0,,
175,0,,,20.0,,
176,1,,,20.0,,
177,1,,,20.0,,
178,0,,,20.0,,
188,1,,,100.0,,
189,1,,,100.0,,
190,0,,,100.0,,
191,0,,,4.0,,
198,0,,,20.0,,
204,0,,,60.0,,
206,1,,,50.0,,
207,0,,,50.0,,
208,0,,,50.0,,
213,0,,,250.0,,
214,2,,,4.0,,
215,2,,,4.0,,
216,0,,,4.0,,
217,0,,,4.0,,
218,0,,,4.0,,
221,2,,,40.0,,
222,0,,,40.0,,
223,0,,,40.0,,
224,2,,,30.0,,
225,0,,,30.0,,
226,0,,,30.0,,
233,2,,,40.0,,
234,2,,,40.0,,
235,0,,,40.0,,
236,0,,,40.0,,
239,0,,,100.0,,
240,0,,,100.0,,
245,2,,,30.0,,
246,0,,,30.0,,
247,0,,,30.0,,
248,0,,,30.0,,
249,0,,,30.0,,
257,1,,,30.0,,
258,1,,,30.0,,
259,0,,,30.0,,
260,0,,,60.0,,
261,0,,,60.0,,
262,0,,,200.0,,
263,0,,,200.0,,
264,1,,,200.0,,
265,0,,,200.0,,
266,0,,,10.0,,
281,0,,,30.0,,
282,0,,,30.0,,
283,0,,,30.0,,
284,0,,,30.0,,
286,0,,,10.0,,
289,1,,,40.0,,
290,1,,,40.0,,
291,0,,,40.0,,
292,0,,,40.0,,
302,0,,,10.0,,
303,0,,,20.0,,
304,0,,,20.0,,
313,2,,,4.0,,
314,0,,,4.0,,
315,0,,,4.0,,
316,0,,,4.0,,
319,0,,,20.0,,
320,0,,,20.0,,
321,0,,,20.0,,
329,0,,,30.0,,
330,0,,,30.0,,
332,0,,,30.0,,
333,0,,,30.0,,
339,2,,,50.0,,
340,0,,,50.0,,
341,0,,,50.0,,
352,2,,,100.0,,
353,2,,,100.0,,
354,0,,,100.0,,
355,0,,,100.0,,
364,0,,,20.0,,
368,2,,,40.0,,
369,2,,,40.0,,
370,0,,,40.0,,
371,0,,,40.0,,
374,2,,,30.0,,
375,2,,,30.0,,
376,0,,,30.0,,
377,0,,,30.0,,
409,0,,,20.0,,
410,0,,,30.0,,
411,0,,,30.0,,
415,0,,,40.0,,
416,0,,,40.0,,
417,0,,,20.0,,
419,0,,,50.0,,
425,0,,,30.0,,
427,0,,,40.0,,
429,0,,,30.0,,
430,0,,,30.0,,
431,0,,,30.0,,
432,0,,,100.0,,
433,0,,,100.0,,
434,0,,,100.0,,
435,0,,,100.0,,
436,0,,,40.0,,
437,0,,,40.0,,
440,0,,,30.0,,
441,0,,,30.0,,
442,0,,,30.0,,
443,0,,,30.0,,
454,0,,,50.0,,
455,0,,,50.0,,
461,0,,,40.0,,
464,0,,,10.0,,
479,0,,,60.0,,
480,0,,,60.0,,
481,0,,,60.0,,
482,0,,,60.0,,
483,0,,,60.0,,
484,0,,,60.0,,
500,0,,,30.0,,
501,0,,,30.0,,
502,0,,,30.0,,
503,0,,,30.0,,
505,0,,,4.0,,
508,0,,,200.0,,
509,0,,,290.0,,
518,0,,,100.0,,
519,0,,,100.0,,
531,0,,,10.0,,
532,1,,,40.0,,
533,0,,,40.0,,
534,0,,,20.0,,
535,0,,,20.0,,
536,0,,,20.0,,
538,0,,,20.0,,
539,0,,,20.0,,
540,0,,,40.0,,
541,0,,,40.0,,
563,0,,,20.0,,
564,0,,,20.0,,
574,2,,,20.0,,
575,0,,,20.0,,
576,0,,,20.0,,
592,0,,,30.0,,
595,2,,,40.0,,
596,0,,,40.0,,
597,0,,,40.0,,
598,0,,,40.0,,
600,0,,,30.0,,
602,0,,,60.0,,
603,0,,,60.0,,
604,0,,,120.0,,
605,0,,,120.0,,
606,0,,,120.0,,
607,0,,,120.0,,
610,0,,,20.0,,
615,2,,,20.0,,
616,0,,,20.0,,
617,0,,,20.0,,
623,0,,,30.0,,
624,1,,,30.0,,
625,0,,,30.0,,
645,2,,,60.0,,
646,2,,,60.0,,
647,0,,,60.0,,
648,0,,,60.0,,
654,0,,,150.0,,
657,0,,,80.0,,
658,0,,,80.0,,
662,0,,,30.0,,
663,0,,,20.0,,
664,0,,,20.0,,
668,0,,,80.0,,
685,2,,,80.0,,
686,2,,,80.0,,
687,0,,,80.0,,
688,0,,,80.0,,
689,1,,,50.0,,
690,0,,,50.0,,
691,0,,,50.0,,
699,0,,,20.0,,
700,1,,,20.0,,
701,0,,,20.0,,
702,0,,,20.0,,
703,0,,,20.0,,
714,0,,,60.0,,
715,0,,,60.0,,
716,0,,,60.0,,
720,0,,,100.0,,
721,0,,,100.0,,
722,0,,,100.0,,
723,0,,,100.0,,
724,0,,,100.0,,
725,0,,,100.0,,
726,0,,,100.0,,
732,0,,,30.0,,
750,0,,,20.0,,
751,0,,,20.0,,
754,0,,,20.0,,
755,0,,,20.0,,
769,0,,,50.0,,
770,0,,,50.0,,
781,0,,,4.0,,
782,0,,,4.0,,
785,0,,,4.0,,
786,0,,,4.0,,
790,0,,,30.0,,
791,0,,,30.0,,
792,0,,,30.0,,
799,0,,,10.0,,
800,0,,,10.0,,
807,0,,,50.0,,
811,2,,,20.0,,
812,0,,,20.0,,
813,0,,,20.0,,
822,0,,,50.0,,
823,0,,,50.0,,
824,0,,,50.0,,
830,2,,,60.0,,
831,0,,,60.0,,
832,0,,,60.0,,
833,0,,,60.0,,
834,0,,,60.0,,
836,1,,,150.0,,
837,1,,,150.0,,
838,0,,,150.0,,
839,0,,,20.0,,
841,0,,,290.0,,
842,0,,,20.0,,
843,0,,,20.0,,
844,0,,,70.0,,
845,0,,,70.0,,
846,0,,,70.0,,
866,0,,,30.0,,
867,0,,,30.0,,
868,0,,,30.0,,
869,0,,,30.0,,
870,0,,,30.0,,
871,0,,,30.0,,
872,0,,,60.0,,
873,1,,,100.0,,
874,1,,,100.0,,
875,0,,,100.0,,
876,0,,,30.0,,
877,0,,,30.0,,
878,0,,,30.0,,
882,0,,,50.0,,
883,0,,,50.0,,
884,1,,,100.0,,
885,1,,,100.0,,
886,0,,,100.0,,
887,0,,,100.0,,
888,0,,,10.0,,
889,0,,,10.0,,
890,1,,,80.0,,
891,1,,,80.0,,
892,0,,,80.0,,
893,0,,,20.0,,
894,0,,,60.0,,
895,0,,,60.0,,
896,0,,,60.0,,
897,0,,,50.0,,
898,0,,,50.0,,
901,0,,,200.0,,
902,0,,,200.0,,
903,0,,,200.0,,
904,0,,,20.0,,
905,0,,,20.0,,
914,3,,,10.0,,
915,0,,,10.0,,
916,0,,,10.0,,
917,0,,,10.0,,
922,0,,,30.0,,
923,0,,,30.0,,
924,0,,,100.0,,
925,1,,,20.0,,
926,0,,,20.0,,
930,2,,,20.0,,
931,0,,,20.0,,
932,0,,,20.0,,
933,0,,,20.0,,
944,3,,,20.0,,
945,0,,,20.0,,
946,0,,,20.0,,
947,0,,,20.0,,
949,1,,,4.0,,
950,1,,,4.0,,
951,0,,,4.0,,
954,1,,,30.0,,
955,0,,,30.0,,
958,0,,,4.0,,
969,0,,,70.0,,
972,0,,,4.0,,
973,0,,,4.0,,
981,2,,,30.0,,
982,2,,,30.0,,
983,0,,,30.0,,
984,0,,,30.0,,
986,0,,,30.0,,
989,1,,,60.0,,
990,1,,,60.0,,
991,0,,,60.0,,
997,0,,,10.0,,
998,0,,,10.0,,
999,0,,,10.0,,
1000,1,,,10.0,,
1001,0,,,10.0,,
1002,0,,,200.0,,
1003,0,,,200.0,,
1007,1,,,40.0,,
1008,1,,,40.0,,
1009,0,,,40.0,,
1011,0,,,150.0,,
1012,0,,,30.0,,
1013,1,,,50.0,,
1014,1,,,50.0,,
1015,0,,,50.0,,
1016,1,,,30.0,,
1017,1,,,30.0,,
1018,0,,,30.0,,
1019,0,,,30.0,,
1020,0,,,30.0,,
1021,0,,,30.0,,
1028,2,,,20.0,,
1029,0,,,20.0,,
1030,0,,,20.0,,
1031,0,,,20.0,,
1032,0,,,20.0,,
1051,0,,,50.0,,
1063,1,,,70.0,,
1064,1,,,70.0,,
1065,0,,,70.0,,
1066,0,,,160.0,,
1067,0,,,50.0,,
1068,0,,,50.0,,
1079,2,,,30.0,,
1080,0,,,30.0,,
1081,0,,,30.0,,
1089,0,,,50.0,,
1090,0,,,50.0,,
1091,0,,,50.0,,
1095,0,,,40.0,,
1096,0,,,40.0,,
1097,0,,,40.0,,
1098,1,,,200.0,,
1099,1,,,200.0,,
1100,0,,,200.0,,
1107,0,,,30.0,,
1109,0,,,50.0,,
1110,0,,,50.0,,
1111,2,,,40.0,,
1112,0,,,40.0,,
1113,0,,,40.0,,
1118,0,,,20.0,,
1119,0,,,40.0,,
1120,0,,,40.0,,
1121,0,,,40.0,,
1122,0,,,50.0,,
1123,0,,,30.0,,
1131,0,,,50.0,,
1132,0,,,50.0,,
1140,0,,,150.0,,
1141,0,,,150.0,,
1142,0,,,150.0,,
1147,0,,,4.0,,
1148,0,,,4.0,,
1154,0,,,10.0,,
1186,0,,,50.0,,
1187,0,,,50.0,,
1193,1,,,20.0,,
1194,1,,,20.0,,
1195,0,,,20.0,,
1196,0,,,20.0,,
1197,0,,,20.0,,
1198,1,,,50.0,,
1199,1,,,50.0,,
1200,0,,,50.0,,
1201,0,,,80.0,,
1205,0,,,10.0,,
1207,0,,,90.0,,
1208,0,,,90.0,,
1209,0,,,90.0,,
1221,0,,,30.0,,
1222,0,,,30.0,,
1223,0,,,50.0,,
1224,0,,,50.0,,
1225,0,,,50.0,,
1226,0,,,50.0,,
1239,1,,,20.0,,
1240,0,,,20.0,,
1241,0,,,50.0,,
1242,0,,,50.0,,
1245,0,,,30.0,,
1246,3,,,20.0,,
1247,0,,,20.0,,
1248,0,,,20.0,,
1249,0,,,20.0,,
1250,0,,,20.0,,
1251,0,,,20.0,,
1252,0,,,20.0,,
1261,0,,,100.0,,
1262,0,,,100.0,,
1270,3,,,60.0,,
1271,3,,,60.0,,
1272,0,,,60.0,,
1273,0,,,60.0,,
1274,0,,,60.0,,
1276,0,,,30.0,,
1277,2,,,50.0,,
1278,2,,,50.0,,
1279,0,,,50.0,,
1280,0,,,50.0,,
1281,0,,,20.0,,
1282,0,,,20.0,,
1283,1,,,60.0,,
1284,0,,,60.0,,
1285,0,,,60.0,,
1286,0,,,40.0,,
1287,2,,,20.0,,
1288,2,,,20.0,,
1289,0,,,20.0,,
1290,0,,,20.0,,
1291,0,,,100.0,,
1292,1,,,100.0,,
1293,0,,,100.0,,
1294,0,,,100.0,,
1295,0,,,100.0,,
1296,0,,,60.0,,
1297,0,,,60.0,,
1298,0,,,60.0,,
1301,0,,,20.0,,
1302,0,,,20.0,,
1303,0,,,20.0,,
1304,0,,,20.0,,
1310,0,,,50.0,,
1311,0,,,50.0,,
1312,0,,,80.0,,
1313,0,,,80.0,,
1314,0,,,80.0,,
1326,0,,,60.0,,
1328,0,,,100.0,,
1329,0,,,20.0,,
1330,0,,,20.0,,
1331,0,,,30.0,,
1332,0,,,30.0,,
1345,0,,,100.0,,
1346,0,,,50.0,,
1349,0,,,30.0,,
1350,0,,,30.0,,
1351,0,,,30.0,,
1356,0,,,60.0,,
1357,0,,,60.0,,
1358,0,,,50.0,,
1362,1,,,30.0,,
1363,0,,,30.0,,
1365,0,,,50.0,,
1366,0,,,50.0,,
1367,0,,,50.0,,
1368,0,,,50.0,,
1369,0,,,10.0,,
1370,0,,,30.0,,
1371,0,,,30.0,,
1373,0,,,80.0,,
1374,0,,,80.0,,
1375,0,,,60.0,,
1398,0,,,10.0,,
1399,0,,,20.0,,
1410,0,,,60.0,,
1411,0,,,60.0,,
1412,1,,,30.0,,
1413,1,,,30.0,,
1414,0,,,30.0,,
1415,0,,,80.0,,
1421,0,,,10.0,,
1422,1,,,10.0,,
1423,0,,,10.0,,
1424,0,,,10.0,,
1425,0,,,10.0,,
1426,0,,,10.0,,
1436,0,,,100.0,,
1437,0,,,100.0,,
1438,0,,,100.0,,
1439,0,,,100.0,,
