,Unnamed: 0,FAMILY_INCOME,HOUSEHOLD_TYPE,RACE,EMPLOYMENT_STATUS,PRCHLD,HOUSEHOLD_PURCHASES_GROCERIES,HOUSEHOLD_PURCHASES_RESTAURANTS,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,Y/N_RECEVIED_FOODBENEFITS_PAST12MONTHS,FOODSTAMPS_AMT_PERMONTH
0,2292,8,1,1,1,4,-1,-1,-1,-1,-1
1,2293,8,1,1,4,4,-1,-1,-1,-1,-1
2,2294,8,1,1,4,0,-1,-1,-1,-1,-1
3,2295,8,1,1,-1,0,-1,-1,-1,-1,-1
4,2296,10,7,1,4,0,-1,30,20,-1,-1
5,2297,5,1,2,4,3,190,-1,-1,1,190
6,2298,5,1,2,1,3,190,-1,-1,1,190
7,2299,5,1,2,-1,0,190,-1,-1,1,190
8,2300,12,1,1,2,3,90,-1,50,-1,-1
9,2301,12,1,1,1,3,90,-1,50,-1,-1
10,2302,12,1,1,-1,0,90,-1,50,-1,-1
11,2303,15,1,2,1,10,120,100,-1,-1,-1
12,2304,15,1,2,1,10,120,100,-1,-1,-1
13,2305,15,1,2,2,1,120,100,-1,-1,-1
14,2306,15,1,2,1,0,120,100,-1,-1,-1
15,2307,15,1,2,-1,0,120,100,-1,-1,-1
16,2308,15,1,2,-1,0,120,100,-1,-1,-1
17,2309,5,7,1,4,0,-1,10,-1,1,50
18,2310,12,1,1,1,3,250,20,-1,2,-1
19,2311,12,1,1,4,3,250,20,-1,2,-1
20,2312,12,1,1,-1,0,250,20,-1,2,-1
21,2313,12,1,1,-1,0,250,20,-1,2,-1
22,2314,12,1,1,4,0,250,20,-1,2,-1
23,2315,8,4,2,1,8,-1,-1,60,2,-1
24,2316,8,4,2,-1,0,-1,-1,60,2,-1
25,2317,8,4,2,-1,0,-1,-1,60,2,-1
26,2318,13,1,1,4,0,130,30,-1,-1,-1
27,2319,13,1,1,4,0,130,30,-1,-1,-1
28,2320,10,1,1,1,4,-1,100,-1,2,-1
29,2321,10,1,1,1,4,-1,100,-1,2,-1
30,2322,10,1,1,-1,0,-1,100,-1,2,-1
31,2323,4,7,2,4,0,30,-1,-1,1,10
32,2324,4,6,2,4,0,40,-1,80,2,-1
33,2325,12,1,1,4,0,60,-1,-1,-1,-1
34,2326,12,1,1,4,0,60,-1,-1,-1,-1
35,2327,14,1,1,1,10,300,100,-1,2,-1
36,2328,14,1,1,1,10,300,100,-1,2,-1
37,2329,14,1,1,-1,0,300,100,-1,2,-1
38,2330,14,1,1,4,0,300,100,-1,2,-1
39,2331,5,6,1,4,0,150,20,-1,2,-1
