Metropolitan Statistical Area,Rank,Percent,Margin of Error,Percent,Margin of Error,Percent,Margin of Error,Ratio
"Des Moines-West Des Moines, IA",103,0.0990086570382118,0.0259847939014435,0.100819461047649,0.027795597910881,0.0985096320509911,0.0254857689142227,1.0234477519989
"Detroit-Warren-Dearborn, MI",45,0.156536802649498,0.0149720311164856,0.17754901945591,0.0359842479228973,0.147355020046234,0.00579024851322174,1.20490646362305
"Durham-Chapel Hill, NC",90,0.1197839230299,0.0315027981996536,0.139014258980751,0.0507331341505051,0.110121637582779,0.021840512752533,1.26237010955811
"El Paso, TX",13,0.192330613732338,0.0385809391736984,0.201895415782928,0.0481457412242889,0.178953185677528,0.0252035111188889,1.12820243835449
"Fayetteville-Springdale-Rogers, AR-MO",44,0.156574100255966,0.0505772307515144,0.205006301403046,0.0990094318985939,0.126181960105896,0.0201850906014442,1.62468791007996
"Fresno, CA",3,0.219504490494728,0.0368042588233948,0.237547039985657,0.0548468083143234,0.205748677253723,0.0230484455823898,1.15454947948456
"Grand Rapids-Wyoming, MI",82,0.129993051290512,0.0282471030950546,0.156573563814163,0.0548276156187057,0.111573182046413,0.00982723385095596,1.40332615375519
"Greensboro-High Point, NC",14,0.191663414239883,0.0343940854072571,0.25171434879303,0.0944450199604034,0.160914659500122,0.00364533066749573,1.56427228450775
"Greenville-Anderson-Mauldin, SC",39,0.162421151995659,0.030558168888092,0.182311356067657,0.0504483729600906,0.151352733373642,0.0194897502660751,1.20454621315002
"Harrisburg-Carlisle, PA",72,0.138817176222801,0.0348663032054901,0.183907568454742,0.0799566954374313,0.121885508298874,0.0179346352815628,1.50885510444641
"Hartford-West Hartford-East Hartford, CT",97,0.115613885223866,0.0224839746952057,0.101299583911896,0.00816967338323593,0.122189164161682,0.0290592536330223,0.829039037227631
"Houston-The Woodlands-Sugar Land, TX",30,0.16996394097805,0.0125982463359833,0.200319454073906,0.042953759431839,0.146315649151802,-0.0110500454902649,1.36909115314484
"Huntsville, AL",67,0.139151111245155,0.0555513650178909,0.118693552911282,0.0350938066840172,0.148029759526253,0.0644300132989883,0.801822245121002
"Indianapolis-Carmel-Anderson, IN",41,0.160898685455322,0.0194377601146698,0.182809814810753,0.0413488894701004,0.146652355790138,0.00519143044948578,1.24655222892761
"Jackson, MS",4,0.212599456310272,0.0601269602775574,0.297554969787598,0.145082473754883,0.162018105387688,0.00954560935497284,1.83655381202698
"Jacksonville, FL",52,0.151906415820122,0.0225016921758652,0.158409014344215,0.0290042906999588,0.146688044071198,0.0172833204269409,1.07990407943726
"Kansas City, MO-KS",88,0.121222071349621,0.0166177079081535,0.127004489302635,0.0224001258611679,0.118465580046177,0.0138612166047096,1.07207930088043
"Knoxville, TN",55,0.149115219712257,0.027781218290329,0.132514461874962,0.0111804604530334,0.155115783214569,0.0337817817926407,0.854293882846832
